bug: apr_pstrmemdup in ap_process_fnmatch_configs, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_varbuf_regsub, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_build_cont_config, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in start_cond_section, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_dir_fnmatch, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_rxplus_compile, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_get_token, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_rxplus_exec, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in include_config, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_psignature, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_get_basic_auth_components, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_getword_white_nc, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_getword_nulls_nc, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_getword_nc, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in core_insert_filter, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_getword, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_pregsub, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_add_cgi_vars, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in subnet_parse_arg, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_sub_req_lookup_uri, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_pregsub_ex, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in process_command_config, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in regsub_core, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in set_errorlog_format, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_parse_token_list_strict, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in parse_errorlog_item, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_build_config, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_field_noparam, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_escape_html2, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_byterange_filter, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_get_exec_line, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_getword_nulls, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_parse_form_data, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_getword_white, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: apr_pstrmemdup in ap_make_dirstr_parent, pair: (ap_mpm_query, apr_pstrmemdup), support: 82, confidence: 70.09%
bug: ap_getparents in ap_process_request, pair: (ap_getparents, strcasecmp), support: 16, confidence: 88.89%
bug: ap_getparents in ap_process_request_internal, pair: (ap_getparents, strcasecmp), support: 16, confidence: 88.89%
bug: realloc in ap_expr_parse_cmd_mi, pair: (fprintf, realloc), support: 10, confidence: 76.92%
bug: fprintf in ap_expr_yy_create_buffer, pair: (fprintf, realloc), support: 10, confidence: 71.43%
bug: realloc in ap_realloc, pair: (fprintf, realloc), support: 10, confidence: 76.92%
bug: fprintf in yy_fatal_error, pair: (fprintf, realloc), support: 10, confidence: 71.43%
bug: fprintf in ap_expr_yyset_lineno, pair: (fprintf, realloc), support: 10, confidence: 71.43%
bug: fprintf in main, pair: (fprintf, realloc), support: 10, confidence: 71.43%
bug: realloc in ap_expr_yyrealloc, pair: (fprintf, realloc), support: 10, confidence: 76.92%
bug: ap_location_walk in op_url_subr, pair: (ap_location_walk, apr_array_make), support: 9, confidence: 75.00%
bug: ap_location_walk in ap_add_cgi_vars, pair: (ap_location_walk, apr_array_make), support: 9, confidence: 75.00%
bug: ap_location_walk in ap_process_request, pair: (ap_location_walk, apr_array_make), support: 9, confidence: 75.00%
bug: ap_create_request_config in op_url_subr, pair: (ap_create_request_config, apr_pmemdup), support: 10, confidence: 83.33%
bug: ap_create_request_config in ap_add_cgi_vars, pair: (ap_create_request_config, apr_pmemdup), support: 10, confidence: 83.33%
bug: read in ap_mpm_podx_check, pair: (read, sigemptyset), support: 3, confidence: 75.00%
bug: pthread_sigmask in listener_thread, pair: (pthread_sigmask, read), support: 3, confidence: 75.00%
bug: read in ap_mpm_podx_check, pair: (pthread_sigmask, read), support: 3, confidence: 75.00%
bug: apr_strtoi64 in ap_basic_http_header, pair: (ap_unescape_url_keep2f, apr_strtoi64), support: 10, confidence: 66.67%
bug: apr_strtoi64 in ap_timeout_parameter_parse, pair: (ap_unescape_url_keep2f, apr_strtoi64), support: 10, confidence: 66.67%
bug: ap_unescape_url_keep2f in op_url_subr, pair: (ap_unescape_url_keep2f, apr_strtoi64), support: 10, confidence: 83.33%
bug: apr_strtoi64 in set_keep_alive_timeout, pair: (ap_unescape_url_keep2f, apr_strtoi64), support: 10, confidence: 66.67%
bug: ap_unescape_url_keep2f in ap_add_cgi_vars, pair: (ap_unescape_url_keep2f, apr_strtoi64), support: 10, confidence: 83.33%
bug: apr_strtoi64 in ap_send_error_response, pair: (ap_unescape_url_keep2f, apr_strtoi64), support: 10, confidence: 66.67%
bug: apr_strtoi64 in basic_http_header_check, pair: (ap_unescape_url_keep2f, apr_strtoi64), support: 10, confidence: 66.67%
bug: apr_atoi64 in ap_expr_eval_comp, pair: (apr_atoi64, apr_table_get), support: 4, confidence: 66.67%
bug: apr_atoi64 in ap_expr_eval, pair: (apr_atoi64, apr_table_get), support: 4, confidence: 66.67%
bug: apr_table_elts in ap_create_environment, pair: (ap_process_request_internal, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in ap_add_common_vars, pair: (ap_process_request_internal, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in ap_fcgi_encode_env, pair: (ap_process_request_internal, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in ap_fcgi_encoded_env_len, pair: (ap_process_request_internal, apr_table_elts), support: 10, confidence: 66.67%
bug: apr_table_elts in check_headers_table, pair: (ap_process_request_internal, apr_table_elts), support: 10, confidence: 66.67%
bug: ap_expr_exec_ctx in ap_if_walk_sub, pair: (ap_expr_exec_ctx, strchr), support: 8, confidence: 72.73%
bug: ap_expr_exec_ctx in ap_if_walk, pair: (ap_expr_exec_ctx, strchr), support: 8, confidence: 72.73%
bug: ap_expr_exec_ctx in ap_send_error_response, pair: (ap_expr_exec_ctx, strchr), support: 8, confidence: 72.73%
bug: apr_rfc822_date in ap_set_last_modified, pair: (apr_rfc822_date, apr_table_get), support: 9, confidence: 90.00%
bug: ap_get_useragent_host in ap_lingering_close, pair: (ap_escape_errorlog_item, ap_get_useragent_host), support: 4, confidence: 80.00%
bug: apr_pool_userdata_setn in ap_process_request_after_handler, pair: (ap_unescape_url_keep2f, apr_pool_userdata_setn), support: 4, confidence: 66.67%
bug: apr_pool_userdata_setn in include_config, pair: (ap_unescape_url_keep2f, apr_pool_userdata_setn), support: 4, confidence: 66.67%
bug: free in ap_cleanup_scoreboard, pair: (free, strlen), support: 21, confidence: 65.63%
bug: free in ap_regexec_len, pair: (free, strlen), support: 21, confidence: 65.63%
bug: free in ap_remove_loaded_module, pair: (free, strlen), support: 21, confidence: 65.63%
bug: free in ap_reclaim_child_processes, pair: (free, strlen), support: 21, confidence: 65.63%
bug: free in ap_expr_yypop_buffer_state, pair: (free, strlen), support: 21, confidence: 65.63%
bug: free in ap_expr_yylex_destroy, pair: (free, strlen), support: 21, confidence: 65.63%
bug: free in ap_expr_yy_delete_buffer, pair: (free, strlen), support: 21, confidence: 65.63%
bug: free in ap_unregister_extra_mpm_process, pair: (free, strlen), support: 21, confidence: 65.63%
bug: free in ap_relieve_child_processes, pair: (free, strlen), support: 21, confidence: 65.63%
bug: free in unload_module, pair: (free, strlen), support: 21, confidence: 65.63%
bug: free in ap_expr_yyfree, pair: (free, strlen), support: 21, confidence: 65.63%
bug: ap_is_recursion_limit_exceeded in ap_process_request, pair: (ap_is_recursion_limit_exceeded, strcasecmp), support: 9, confidence: 90.00%
bug: ap_make_method_list in op_url_subr, pair: (ap_make_method_list, ap_regexec), support: 8, confidence: 66.67%
bug: ap_make_method_list in ap_http_header_filter, pair: (ap_make_method_list, ap_regexec), support: 8, confidence: 66.67%
bug: ap_make_method_list in ap_add_cgi_vars, pair: (ap_make_method_list, ap_regexec), support: 8, confidence: 66.67%
bug: ap_make_method_list in ap_read_request, pair: (ap_make_method_list, ap_regexec), support: 8, confidence: 66.67%
bug: ap_cfg_closefile in ap_process_resource_config, pair: (ap_cfg_closefile, log_error_core), support: 6, confidence: 75.00%
bug: ap_cfg_closefile in process_command_config, pair: (ap_cfg_closefile, log_error_core), support: 6, confidence: 75.00%
bug: ap_no2slash in op_url_subr, pair: (ap_no2slash, ap_recent_ctime_ex), support: 14, confidence: 77.78%
bug: ap_no2slash in ap_add_cgi_vars, pair: (ap_no2slash, ap_recent_ctime_ex), support: 14, confidence: 77.78%
bug: ap_no2slash in ap_sub_req_lookup_uri, pair: (ap_no2slash, ap_recent_ctime_ex), support: 14, confidence: 77.78%
bug: ap_no2slash in op_file_subr, pair: (ap_no2slash, ap_recent_ctime_ex), support: 14, confidence: 77.78%
bug: apr_atomic_cas32 in ap_queue_info_try_get_idler, pair: (ap_recent_ctime_ex, apr_atomic_cas32), support: 7, confidence: 77.78%
bug: apr_atomic_cas32 in join_workers, pair: (ap_recent_ctime_ex, apr_atomic_cas32), support: 7, confidence: 77.78%
bug: apr_table_elts in ap_create_environment, pair: (apr_file_flush, apr_table_elts), support: 13, confidence: 86.67%
bug: apr_table_elts in ap_fcgi_encoded_env_len, pair: (apr_file_flush, apr_table_elts), support: 13, confidence: 86.67%
bug: apr_table_overlap in ap_add_common_vars, pair: (apr_date_parse_http, apr_table_overlap), support: 8, confidence: 88.89%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_header_filter, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_date_parse_http, apr_table_overlay), support: 8, confidence: 66.67%
bug: apr_thread_join in join_workers, pair: (apr_socket_opt_set, apr_thread_join), support: 3, confidence: 75.00%
bug: apr_dir_read in ap_dir_nofnmatch, pair: (ap_dir_fnmatch, apr_dir_read), support: 3, confidence: 75.00%
bug: apr_array_cat in ap_send_http_options, pair: (__ctype_b_loc, apr_array_cat), support: 10, confidence: 83.33%
bug: apr_array_cat in make_allow, pair: (__ctype_b_loc, apr_array_cat), support: 10, confidence: 83.33%
bug: apr_file_open_stdout in dump_loaded_modules, pair: (ap_mpm_query, apr_file_open_stdout), support: 6, confidence: 66.67%
bug: apr_file_open_stdout in process_resource_config_cb, pair: (ap_mpm_query, apr_file_open_stdout), support: 6, confidence: 66.67%
bug: apr_file_open_stdout in core_dump_config, pair: (ap_mpm_query, apr_file_open_stdout), support: 6, confidence: 66.67%
bug: ap_regexec_len in ap_rxplus_exec, pair: (ap_escape_html2, ap_regexec_len), support: 7, confidence: 70.00%
bug: ap_regexec_len in ap_expr_eval, pair: (ap_escape_html2, ap_regexec_len), support: 7, confidence: 70.00%
bug: ap_regexec_len in ap_expr_exec_ctx, pair: (ap_escape_html2, ap_regexec_len), support: 7, confidence: 70.00%
bug: apr_pollset_remove in process_timeout_queue, pair: (apr_pollset_remove, log_error_core), support: 6, confidence: 66.67%
bug: apr_pollset_remove in join_workers, pair: (apr_pollset_remove, log_error_core), support: 6, confidence: 66.67%
bug: apr_pollset_remove in signal_threads, pair: (apr_pollset_remove, log_error_core), support: 6, confidence: 66.67%
bug: ap_expr_exec in ap_if_walk_sub, pair: (ap_expr_exec, apr_pstrdup), support: 13, confidence: 81.25%
bug: ap_expr_exec in ap_if_walk, pair: (ap_expr_exec, apr_pstrdup), support: 13, confidence: 81.25%
bug: ap_expr_exec in ap_process_request_internal, pair: (ap_expr_exec, apr_pstrdup), support: 13, confidence: 81.25%
bug: ap_run_quick_handler in ap_add_cgi_vars, pair: (ap_run_quick_handler, apr_file_puts), support: 13, confidence: 86.67%
bug: ap_run_quick_handler in ap_sub_req_lookup_uri, pair: (ap_run_quick_handler, apr_file_puts), support: 13, confidence: 86.67%
bug: apr_os_thread_current in log_tid, pair: (apr_file_flush, apr_os_thread_current), support: 209, confidence: 99.52%
bug: ap_unescape_url in op_url_subr, pair: (ap_run_insert_filter, ap_unescape_url), support: 10, confidence: 83.33%
bug: ap_unescape_url in ap_add_cgi_vars, pair: (ap_run_insert_filter, ap_unescape_url), support: 10, confidence: 83.33%
bug: ap_run_insert_filter in ap_invoke_handler, pair: (ap_run_insert_filter, ap_unescape_url), support: 10, confidence: 83.33%
bug: ap_run_insert_filter in ap_run_sub_req, pair: (ap_run_insert_filter, ap_unescape_url), support: 10, confidence: 83.33%
bug: ap_get_server_description in dummy_connection, pair: (ap_get_server_description, log_apr_status), support: 4, confidence: 66.67%
bug: ap_get_server_description in show_compile_settings, pair: (ap_get_server_description, log_apr_status), support: 4, confidence: 66.67%
bug: apr_dir_read in ap_dir_nofnmatch, pair: (apr_dir_read, strchr), support: 3, confidence: 75.00%
bug: apr_date_parse_http in ap_meets_conditions, pair: (apr_date_parse_http, apr_pstrmemdup), support: 9, confidence: 69.23%
bug: apr_date_parse_http in ap_condition_if_modified_since, pair: (apr_date_parse_http, apr_pstrmemdup), support: 9, confidence: 69.23%
bug: apr_date_parse_http in ap_condition_if_unmodified_since, pair: (apr_date_parse_http, apr_pstrmemdup), support: 9, confidence: 69.23%
bug: apr_date_parse_http in ap_condition_if_range, pair: (apr_date_parse_http, apr_pstrmemdup), support: 9, confidence: 69.23%
bug: log_backtrace in ap_add_cgi_vars, pair: (apr_psprintf, log_backtrace), support: 7, confidence: 87.50%
bug: ap_unescape_url in ap_add_cgi_vars, pair: (ap_unescape_url, apr_psprintf), support: 11, confidence: 91.67%
bug: apr_bucket_flush_create in ap_fflush, pair: (apr_brigade_create, apr_bucket_flush_create), support: 14, confidence: 93.33%
bug: apr_table_clear in core_upgrade_handler, pair: (ap_log_rerror_, apr_table_clear), support: 10, confidence: 66.67%
bug: apr_table_clear in ap_send_interim_response, pair: (ap_log_rerror_, apr_table_clear), support: 10, confidence: 66.67%
bug: apr_table_clear in ap_http_filter, pair: (ap_log_rerror_, apr_table_clear), support: 10, confidence: 66.67%
bug: apr_table_clear in core_upgrade_storage, pair: (ap_log_rerror_, apr_table_clear), support: 10, confidence: 66.67%
bug: apr_table_clear in ap_send_error_response, pair: (ap_log_rerror_, apr_table_clear), support: 10, confidence: 66.67%
bug: prep_walk_cache in ap_sub_req_lookup_uri, pair: (prep_walk_cache, syslog), support: 15, confidence: 93.75%
bug: apr_array_cat in default_handler, pair: (ap_getparents, apr_array_cat), support: 8, confidence: 66.67%
bug: apr_array_cat in ap_send_http_options, pair: (ap_getparents, apr_array_cat), support: 8, confidence: 66.67%
bug: apr_array_cat in make_allow, pair: (ap_getparents, apr_array_cat), support: 8, confidence: 66.67%
bug: apr_array_cat in ap_send_error_response, pair: (ap_getparents, apr_array_cat), support: 8, confidence: 66.67%
bug: apr_bucket_eos_create in bail_out_on_error, pair: (apr_bucket_eos_create, apr_time_now), support: 14, confidence: 73.68%
bug: apr_bucket_eos_create in ap_finalize_request_protocol, pair: (apr_bucket_eos_create, apr_time_now), support: 14, confidence: 73.68%
bug: apr_bucket_eos_create in ap_finalize_sub_req_protocol, pair: (apr_bucket_eos_create, apr_time_now), support: 14, confidence: 73.68%
bug: apr_bucket_eos_create in ap_byterange_filter, pair: (apr_bucket_eos_create, apr_time_now), support: 14, confidence: 73.68%
bug: apr_bucket_eos_create in ap_core_input_filter, pair: (apr_bucket_eos_create, apr_time_now), support: 14, confidence: 73.68%
bug: ap_expr_exec_ctx in ap_if_walk_sub, pair: (ap_expr_exec_ctx, strcmp), support: 9, confidence: 81.82%
bug: ap_expr_exec_ctx in ap_if_walk, pair: (ap_expr_exec_ctx, strcmp), support: 9, confidence: 81.82%
bug: ap_process_request_internal in ap_http_header_filter, pair: (ap_get_server_name, ap_process_request_internal), support: 7, confidence: 70.00%
bug: ap_process_request_internal in ap_process_request, pair: (ap_get_server_name, ap_process_request_internal), support: 7, confidence: 70.00%
bug: ap_process_request_internal in ap_read_request, pair: (ap_get_server_name, ap_process_request_internal), support: 7, confidence: 70.00%
bug: apr_array_copy in ap_location_walk, pair: (ap_mpm_query, apr_array_copy), support: 12, confidence: 66.67%
bug: apr_array_copy in ap_file_walk, pair: (ap_mpm_query, apr_array_copy), support: 12, confidence: 66.67%
bug: apr_array_copy in unset_define, pair: (ap_mpm_query, apr_array_copy), support: 12, confidence: 66.67%
bug: apr_array_copy in core_pre_config, pair: (ap_mpm_query, apr_array_copy), support: 12, confidence: 66.67%
bug: apr_array_copy in prep_walk_cache, pair: (ap_mpm_query, apr_array_copy), support: 12, confidence: 66.67%
bug: apr_array_copy in set_define, pair: (ap_mpm_query, apr_array_copy), support: 12, confidence: 66.67%
bug: ap_is_recursion_limit_exceeded in ap_http_header_filter, pair: (ap_get_server_name, ap_is_recursion_limit_exceeded), support: 7, confidence: 70.00%
bug: ap_is_recursion_limit_exceeded in ap_process_request, pair: (ap_get_server_name, ap_is_recursion_limit_exceeded), support: 7, confidence: 70.00%
bug: ap_is_recursion_limit_exceeded in ap_read_request, pair: (ap_get_server_name, ap_is_recursion_limit_exceeded), support: 7, confidence: 70.00%
bug: apr_uri_parse_hostinfo in ap_parse_uri, pair: (apr_uri_parse_hostinfo, strcmp), support: 15, confidence: 93.75%
bug: apr_os_file_get in ap_mpm_podx_check, pair: (apr_os_file_get, apr_sleep), support: 3, confidence: 75.00%
bug: apr_table_set in ap_args_to_table, pair: (apr_file_puts, apr_table_set), support: 8, confidence: 88.89%
bug: apr_socket_timeout_set in writev_nonblocking, pair: (apr_socket_timeout_set, apr_table_get), support: 18, confidence: 94.74%
bug: apr_date_parse_http in ap_meets_conditions, pair: (apr_date_parse_http, apr_file_puts), support: 9, confidence: 69.23%
bug: apr_date_parse_http in ap_condition_if_modified_since, pair: (apr_date_parse_http, apr_file_puts), support: 9, confidence: 69.23%
bug: apr_date_parse_http in ap_condition_if_unmodified_since, pair: (apr_date_parse_http, apr_file_puts), support: 9, confidence: 69.23%
bug: apr_date_parse_http in ap_condition_if_range, pair: (apr_date_parse_http, apr_file_puts), support: 9, confidence: 69.23%
bug: ap_no2slash in op_url_subr, pair: (ap_no2slash, apr_pstrcat), support: 12, confidence: 66.67%
bug: ap_no2slash in ap_sub_req_lookup_uri, pair: (ap_no2slash, apr_pstrcat), support: 12, confidence: 66.67%
bug: ap_no2slash in ap_sub_req_lookup_file, pair: (ap_no2slash, apr_pstrcat), support: 12, confidence: 66.67%
bug: ap_no2slash in op_file_subr, pair: (ap_no2slash, apr_pstrcat), support: 12, confidence: 66.67%
bug: ap_no2slash in ap_process_request_internal, pair: (ap_no2slash, apr_pstrcat), support: 12, confidence: 66.67%
bug: ap_no2slash in ap_sub_req_method_uri, pair: (ap_no2slash, apr_pstrcat), support: 12, confidence: 66.67%
bug: apr_pool_userdata_setn in include_config, pair: (apr_pool_userdata_setn, strrchr), support: 5, confidence: 83.33%
bug: apr_pool_tag in ap_add_cgi_vars, pair: (apr_pool_tag, getpid), support: 14, confidence: 77.78%
bug: apr_pool_tag in ap_sub_req_lookup_uri, pair: (apr_pool_tag, getpid), support: 14, confidence: 77.78%
bug: apr_pool_tag in make_sub_request, pair: (apr_pool_tag, getpid), support: 14, confidence: 77.78%
bug: apr_pool_tag in setaside_remaining_output, pair: (apr_pool_tag, getpid), support: 14, confidence: 77.78%
bug: ap_expr_str_exec in ap_http_header_filter, pair: (ap_expr_str_exec, buffer_output), support: 7, confidence: 70.00%
bug: ap_expr_str_exec in ap_process_request, pair: (ap_expr_str_exec, buffer_output), support: 7, confidence: 70.00%
bug: ap_expr_str_exec in ap_read_request, pair: (ap_expr_str_exec, buffer_output), support: 7, confidence: 70.00%
bug: __ctype_toupper_loc in http2env, pair: (__ctype_toupper_loc, apr_pstrdup), support: 12, confidence: 85.71%
bug: __ctype_toupper_loc in ap_str_toupper, pair: (__ctype_toupper_loc, apr_pstrdup), support: 12, confidence: 85.71%
bug: apr_table_set in ap_args_to_table, pair: (apr_filepath_name_get, apr_table_set), support: 8, confidence: 88.89%
bug: apr_filepath_name_get in main, pair: (apr_filepath_name_get, apr_table_set), support: 8, confidence: 88.89%
bug: setsockopt in ap_listen_pre_config, pair: (setsockopt, strrchr), support: 13, confidence: 92.86%
bug: ap_expr_exec_ctx in ap_send_error_response, pair: (ap_expr_exec_ctx, apr_pmemdup), support: 10, confidence: 90.91%
bug: apr_table_overlay in ap_cookie_read, pair: (apr_table_overlay, log_apr_status), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_internal_fast_redirect, pair: (apr_table_overlay, log_apr_status), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_http_filter, pair: (apr_table_overlay, log_apr_status), support: 8, confidence: 66.67%
bug: apr_table_overlay in ap_scan_script_header_err_core_ex, pair: (apr_table_overlay, log_apr_status), support: 8, confidence: 66.67%
bug: internal_internal_redirect in ap_http_header_filter, pair: (ap_expr_str_exec_re, internal_internal_redirect), support: 7, confidence: 70.00%
bug: internal_internal_redirect in ap_process_request, pair: (ap_expr_str_exec_re, internal_internal_redirect), support: 7, confidence: 70.00%
bug: internal_internal_redirect in ap_process_http_connection, pair: (ap_expr_str_exec_re, internal_internal_redirect), support: 7, confidence: 70.00%
bug: apr_table_do in ap_send_http_trace, pair: (apr_table_do, strlen), support: 18, confidence: 94.74%
bug: ap_create_request_config in op_url_subr, pair: (ap_create_request_config, ap_die_r), support: 10, confidence: 83.33%
bug: ap_create_request_config in ap_add_cgi_vars, pair: (ap_create_request_config, ap_die_r), support: 10, confidence: 83.33%
